rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
Warung Bakmi Mpek Tjoen,Gandaria,4.0,(137 Ulasan),"Jl. KH. Ahmad Dahlan No. 31, Gandaria, Jakarta",Asia,Harga untuk 2:Rp120.000,Jam:                                      8h - 22h (Sen-Min)
Yoshi Izakaya - Gran Melia,"Gran Melia Hotel, Kuningan",3.9,(80 Ulasan),"Gran Melia Hotel, Jl. HR Rasuna Said, Kuningan, Jakarta","Jepang, Sushi",Harga untuk 2:Rp1.200.000,"Jam:                                      11h 30m - 14h 30m, 18h - 22h 30m (Sen-Min)"
QQ Kopitiam,"Plaza Indonesia, Thamrin",2.0,(57 Ulasan),"Plaza Indonesia, Lantai 5, Jl MH Thamrin, Thamrin, Jakarta","Peranakan, Indonesia, Desserts",Harga untuk 2:Rp150.000,Jam:                                      10h - 22h (Sen-Min)
Kitchenette,"Kota Kasablanka, Tebet",4.0,(48 Ulasan),"Kota Kasablanka, Lantai Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta","Itali, Asia, Barat",Harga untuk 2:Rp350.000,Jam:                                      11h - 20h (Sen-Min)
Fish & Chips Threehouse,Bendungan Hilir,3.7,(30 Ulasan),"Park Royale Executive Suites, Tower 1, Jl Gatot Subroto Kav 35-39, Bendungan Hilir, Jakarta",Barat,Harga untuk 2:Rp250.000,"Jam:                                      10h - 21h 30m (Sen),10h - 21h (Sel-Sab),Tutup (Min)"
Ga Ya Sung,"Grand Wijaya Center, Dharmawangsa",3.8,(59 Ulasan),"Grand Wijaya Center, Jl. Wijaya 2, Dharmawangsa, Jakarta",Korea,Harga untuk 2:Rp150.000,Jam:                                      11h - 22h (Sen-Min)
Seroeni,"Lippo Mall Puri @ St. Moritz, Puri Indah",4.3,(324 Ulasan),"Lippo Mall Puri @ The St. Moritz, Lantai 1, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta","Malaysia, Chinese",Harga untuk 2:Rp350.000,Jam:                                      10h - 22h (Sen-Min)
3rd Place - Posto Dormire Hotel,Grogol,4.1,(109 Ulasan),"Posto Dormire Hotel, Jl. Dr. Susilo Raya No. 3, Grogol, Jakarta","Barat, Indonesia",Harga untuk 2:Rp200.000,Jam:                                      10h - 22h (Sen-Min)
Ikkudo Ichi,"Ruko Crown Golf, Pantai Indah Kapuk",4.3,(524 Ulasan),"Ruko Crown Golf, Blok D No. 2-3, Bukit Golf Mediterania, Jl. Marina Indah Raya, Pantai Indah Kapuk, Jakarta","Ramen, Jepang",Harga untuk 2:Rp180.000,Jam:                                      11h - 22h (Sen-Min)
Bakmi Tiga Marga,Kebayoran Lama,3.6,(40 Ulasan),"Jl. Biduri Bulan Blok I No. 12, Kebayoran Lama, Jakarta","Bakmi, Chinese",Harga untuk 2:Rp150.000,"Jam:                                      Tutup (Sen),7h - 14h (Sel-Min)"
Bakmi Metro,Sunter,3.9,(92 Ulasan),"Jl. Danau Sunter Garden, Blok D8, Sunter, Jakarta",Bakmi,Harga untuk 2:Rp90.000,Jam:                                      6h 30m - 14h (Sen-Min)
Bakmi Ajong,Gunung Sahari,3.9,(60 Ulasan),"Jl. Pademangan II Raya Samping, Gang 3 No. 18, Gunung Sahari, Jakarta",Bakmi,Harga untuk 2:Rp75.000,Jam:                                      17h - 1h (Sen-Min)
Bakmi Win,SCBD,3.6,(44 Ulasan),"Jl. Tulodong Atas No.16, SCBD, Jakarta","Bakmi, Chinese",Harga untuk 2:Rp60.000,"Jam:                                      7h - 18h (Sen-Jum),8h - 18h (Sab-Min)"
Stark Taproom,SCBD,3.1,(29 Ulasan),"Jl. Jend. Sudirman, Blok LOT No. 21, SCBD, Jakarta",Dimsum,Harga untuk 2:Rp300.000,"Jam:                                      7h - 22h (Sen-Jum),7h - 24h (Sab-Min)"
Bakmi Khek,Muara Karang,4.1,(128 Ulasan),"Jl. Muara Karang Raya No. 115, Muara Karang, Jakarta","Bakmi, Chinese",Harga untuk 2:Rp80.000,Jam:                                      6h - 15h (Sen-Min)
Pentan Dimsum Bar,"The East, Kuningan",3.5,(14 Ulasan),"The East, Jl. Doktor Ide Anak Agung Gde Agung No. 1, Kuningan, Jakarta","Dimsum, Asia",Harga untuk 2:Rp200.000,"Jam:                                      7h - 22h (Sen-Kam),7h - 5h (Jum),10h - 5h (Sab),10h..."
GogiJjang Korean BBQ,Hayam Wuruk,3.7,(27 Ulasan),"Jl Hayam Wuruk No 81, Hayam Wuruk, Jakarta",Korea,Harga untuk 2:Rp300.000,Jam:                                      11h - 22h (Sen-Min)
Hunter and Grower,Kemang,3.8,(31 Ulasan),"Jl. Kemang Timur No. 46A, Kemang, Jakarta","Barat, Makanan Sehat",Harga untuk 2:Rp150.000,Jam:                                      8h - 22h (Sen-Min)
Shu Guo Yin Xiang,"Senayan City, Senayan",3.7,(33 Ulasan),"Senayan City, Lantai 5, Jl. Asia Afrika, Senayan, Jakarta",Chinese,Harga untuk 2:Rp350.000,Jam:                                      10h - 22h (Sen-Min)
Imperial Kitchen & Dimsum,"Mall Taman Anggrek, Tanjung Duren",3.0,(26 Ulasan),"Mall Taman Anggrek, Lantai 1, Jl. Tanjung Duren Timur 2, Tanjung Duren, Jakarta","Dimsum, Chinese",Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
RARA Ramen & Bar,"Humble House, Dharmawangsa",3.0,(11 Ulasan),"Humble House, Jl. Wijaya 2 No. 123, Dharmawangsa, Jakarta 12160",Ramen,Harga untuk 2:Rp160.000,"Jam:                                      11h - 1h (Sen, Sel, Rab, Kam, Min), 11h - 2h (Jum-Sab)"
Mr. Park,"Mall of Indonesia, Kelapa Gading",3.9,(62 Ulasan),"Ruko Italian Walk, Blok J No. 23, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Korea,Harga untuk 2:Rp350.000,Jam:                                      11h - 24h (Sen-Min)
Ichiro Ramen Market,"AEON Mall, Serpong",3.2,(596 Ulasan),"AEON Mall, Lantai 3, Ramen Village, Jl. BSD Raya Utama, Serpong, Tangerang","Ramen, Jepang",Harga untuk 2:Rp160.000,Jam:                                      10h - 22h (Sen-Min)
Toast Box,"Mall Taman Anggrek, Tanjung Duren",2.5,(33 Ulasan),"Mall Taman Anggrek, Lantai Ground, Jl. Letjen. S. Parman, Tanjung Duren, Jakarta",Singapura,Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Seirock-Ya,"Puri Indah Mall, Puri Indah",4.1,(72 Ulasan),"Puri Indah Mall, Jl. Puri Indah Raya, Puri Indah, Jakarta","Jepang, Ramen",Harga untuk 2:Rp160.000,Jam:                                      10h - 22h (Sen-Min)
PIG Me Up!,"Mall of Indonesia, Kelapa Gading",3.6,(40 Ulasan),"Mall of Indonesia, Lantai 2, Dotonbori, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Chinese,Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Hotaru Deli,Kebayoran Lama,3.9,(21 Ulasan),"Jl. Arteri Permata Hijau No. 11, Kebayoran lama, Jakarta",Jepang,Harga untuk 2:Rp200.000,Jam:                                      11h - 20h (Sen-Min)
Wok Eat Out,Cilandak,3.6,(11 Ulasan),"Jl. Cipete Raya No.2C, Cilandak, Jakarta",Chinese,Harga untuk 2:Rp150.000,Jam:                                      11h - 22h (Sen-Min)
Medja Restaurant,Bogor Timur,4.0,(278 Ulasan),"Jl. Pajajaran Indah V No. 6, Bogor Timur, Bogor",Indonesia,Harga untuk 2:Rp360.000,"Jam:                                      11h - 20h (Sen-Jum),10h - 20h (Sab-Min)"
Gokana Ramen & Teppan,"Mall Ciputra, Grogol",2.8,(20 Ulasan),"Mall Ciputra, Lantai 4, Jl. Arteri S. Parman, Grogol, Jakarta","Jepang, Asia",Harga untuk 2:Rp110.000,Jam:                                      10h - 22h (Sen-Min)
Room Number One,"Fairgrounds, SCBD",3.7,(4 Ulasan),"Fairgrounds, SCBD Lot 14, Jl. Jenderal Sudirman, SCBD, Jakarta",Chinese,Harga untuk 2:Rp500.000,Jam:                                      11h - 23h (Sen-Min)
YamMie Hotplate,"Margo City, Beji",4.0,(95 Ulasan),"Margo City, Lantai 2, Food Court, Jl. Margonda Raya, Beji, Depok",Bakmi,Harga untuk 2:Rp75.000,Jam:                                      10h - 22h (Sen-Min)
"Mie Keriting Siantar ""ATEK""","Ruko Pasar 8, Serpong Utara",4.0,(74 Ulasan),"Ruko Pasar 8, RD No. 9, Jl. Alam Utama, Serpong Utara, Tangerang",Bakmi,Harga untuk 2:Rp80.000,Jam:                                      7h - 14h (Sen-Min)
Bangkok Kaki Lima,Blok M,3.2,(7 Ulasan),"Jl. Bulungan No. 8, Blok M, Jakarta",Asia,Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Abura Soba Yamatoten,"Lippo Mall Puri @ St. Moritz, Puri Indah",3.8,(18 Ulasan),"Lippo Mall Puri @ The St. Moritz, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta",Jepang,Harga untuk 2:Rp200.000,Jam:                                      10h - 22h (Sen-Min)
Bakmi Tan,Pluit,3.7,(27 Ulasan),"Jl. Muara Karang Raya, Pluit, Jakarta","Bakmi, Chinese",Harga untuk 2:Rp90.000,Jam:                                      6h 30m - 17h (Sen-Min)
Bakmi Alot Kota Bunga,"Ruko Sunter Paradise, Sunter",3.5,(13 Ulasan),"Ruko Sunter Paradise, Blok K No. 44, Jl. Paradise Raya, Sunter, Jakarta",Bakmi,Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
Soto Mie Pak Kadir,Kelapa Gading,3.5,(15 Ulasan),"Jl. Kelapa Hybrida, Blok QK 1 No. 19, Kelapa Gading, Jakarta",Soto,Harga untuk 2:Rp80.000,Jam:                                      7h 30m - 20h (Sen-Min)
Bakmi Rudy,Pondok Indah,3.6,(9 Ulasan),"Jl. H. Nawi Raya No. 42, Pondok Indah, Jakarta",Bakmi,Harga untuk 2:Rp100.000,Jam:                                      8h - 20h 30m (Sen-Min)
Mie Ayung - Mie Ayam Bangka Asli,"Ruko Food City, Cipondoh",3.9,(17 Ulasan),"Ruko Food City No. 37, Jl. Green Lake City, Cipondoh, Tangerang",Bakmi,Harga untuk 2:Rp70.000,Jam:                                      7h - 18h (Sen-Min)
Bakmi Bintang Gading,Serpong Utara,3.4,(55 Ulasan),"Ruko Diamond 3, Jl. Gading Golf Boulevard No. 52-53, Serpong Utara, Tangerang","Bakmi, Chinese, Dimsum",Harga untuk 2:Rp120.000,Jam:                                      7h - 24h (Sen-Min)
Bakmi Petak Sembilan 'Seng Peng',"Loksem Puri Indah, Puri Indah",3.5,(9 Ulasan),"Loksem Puri Indah, Jl. Puri Indah Raya, Blok KJ No. 7, Puri Indah, Jakarta",Bakmi,Harga untuk 2:Rp50.000,"Jam:                                      Tutup (Sen),7h - 14h (Sel-Min)"
Bakso Titoti,Pancoran Mas,2.9,(18 Ulasan),"Jl. Kartini No. 27, Pancoran Mas, Depok",Bakso,Harga untuk 2:Rp75.000,Jam:                                      9h - 21h 30m (Sen-Min)
Bakmi Medan Kebon Jahe,Cibodas,3.6,(15 Ulasan),"Ruko CBD Palem Semi, No. 21, Jl. Palem Jepang, Cibodas, Tangerang","Bakmi, Medan",Harga untuk 2:Rp70.000,Jam:                                      10h - 22h (Sen-Min)
