Restaurant Name;Restaurant Type;Restaurant Area;Restaurant Rating;Restaurant Review;Restaurant Address;Latitude;Longitude;Price
Pokenbir;['Casual Dining', 'Asian', 'Western'];Setiabudi;4.9;1,193 Reviews;Lippo Kuningan, Jl. HR Rasuna Said, Setiabudi, Jakarta;-62.175.539.471;106.830.099.821;Rp320.000 for two people (approx.) Without alcohol
Tsamara Resto & Function Hall;['Casual Dining', 'Indonesian'];Pondok Melati;4.1;611 Reviews;Jl. Raya Hankam No. 69, Pondok Melati, Bekasi;-63.414.770.000;106.923.028.000;Rp150.000 for two people (approx.)
Nicole's Kitchen & Lounge;['Casual Dining', 'Western', 'Asian'];Cisarua;4.2;942 Reviews;Kampoeng Brasco, Jl. Raya Hanjawar No. 1, Cisarua, Bogor 43253;-67.139.220.000;107.023.893.000;Good View
Cliq Coffee;['Café', 'Quick Bites', 'Coffee', 'Western', 'Indonesian'];Senopati;4.2;414 Reviews;Jl. Cipaku I No. 9A, Senopati, Jakarta;-62.395.375.506;106.811.348.497;Rp160.000 for two people (approx.)
Jetski Cafe;['Casual Dining', 'Seafood'];Pluit;4.2;791 Reviews;Pantai Mutiara, Jl. Raya Pantai Mutiara, Blok R No. 57, Pluit, Jakarta;-61.034.493.621;106.790.332.384;Sunset View
Gelato Secrets;['Dessert Parlor', 'Ice Cream'];Menteng;4.6;846 Reviews;Shophaus, Lantai 1, Jl. Teuku Cik Ditiro No. 36, Menteng, Jakarta;-61.976.190.000;106.836.528.000;Rp130.000 for two people (approx.)
FEZ Kinara & Aroi Thai;['Casual Dining', 'Bar', 'North Indian', 'Indian', 'Moroccan', 'Middle Eastern', 'Thai'];Kemang;4.3;422 Reviews;Jl. Kemang Raya No. 78 B, Kemang, Jakarta;-62.693.544.925;106.815.876.402;Rp250.000 for two people (approx.) Without alcohol
Mister - Sunday;['Café', 'Cafe', 'Australian', 'Coffee', 'Tea'];Senopati;4.1;673 Reviews;Jl. Cikajang No. 30, Senopati, Jakarta;-62.411.316.744;106.810.323.894;Rp150.000 for two people (approx.) Without alcohol
Goedkoop;['Café', 'Quick Bites', 'Cafe', 'Coffee', 'Belanda'];Bendungan Hilir;4.3;1,152 Reviews;Jl. Bendungan Hilir Raya No. 62, Bendungan Hilir, Jakarta;-62.128.700.000;106.812.781.000;Variety of Pasta
Zenbu;['Casual Dining', 'Sushi', 'Ramen', 'Japanese'];Tebet;4.5;1,511 Reviews;Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta;-62.242.250.000;106.842.805.000;Ample Seating Area
Pizza Place;['Quick Bites', 'Pizza'];Kemang;4.8;813 Reviews;Como Park, Jl. Kemang Timur Raya No. 998, Kemang, Jakarta;-62.724.860.000;106.821.250.000;Rp100.000 for two people (approx.)
Woodpecker Coffee;['Café', 'Desserts', 'Tea', 'Coffee'];Dharmawangsa;4.2;716 Reviews;Jl. Panglima Polim V No. 23, Dharmawangsa, Jakarta;-62.507.946.333;106.798.142.977;Perfect Place
Tier Siera Resto & Lounge;['Casual Dining', 'Western'];Tanah Sareal;4.0;604 Reviews;Jl. Jend. Ahmad Yani No. 48, Tanah Sareal, Bogor 16161;-65.762.160.000;106.800.238.000;Rp150.000 for two people (approx.)
Foresthree;['Café', 'Cafe', 'Western'];Bogor Utara;4.2;863 Reviews;Jl. H. Achmad Adnawijaya, Bogor Utara, Bogor;-65.777.830.000;106.817.633.000;Rp150.000 for two people (approx.)
